x_num,t_num,error,size
10,10,0.004840378925794704,100
25,25,0.0023163024812211963,625
50,50,0.0012592979925904505,2500
75,75,0.0007903443150101508,5625
100,100,0.0007865438571973096,10000
125,125,0.0007873634857222531,15625
150,150,0.0007879016018041893,22500
175,175,0.0007882831346600784,30625
200,200,0.0007885681273941122,40000
